ShipmentID,GenericName,CargoUnit,OriginLocationName,OriginCountry,OriginPort,OriginPortCode,DestinationLocationName,DestinationCountry,DestinationPort,DestinationPortCode,Carrier,ModeOfTransport,SecondaryMode,ContainerNumber,BillOfLadingNumber,ETD,ETA,ATD,ATA,FreightTerms,CargoDescription,CargoWeight,CargoVolume,FreightCost,CustomsValue,TrackingNumber,TemperatureCategory,TemperatureRange,PackagingType,QualityRequirements,ComplianceRequirements,QualityMetrics,RiskCategory,InspectionFrequency,MonitoringLevel,InsuranceType,InsuranceCoverage,InsurancePremium,HandlingEquipmentCost,HandlingLaborCost,TotalHandlingCost,CarbonFootprint,CarbonFootprintUnit,RequiredDocuments
SHIP-5AB6617B,Lisinopril,g,Chicago Facility,USA,,USCHI,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Werner Enterprises,road,,,BOL83977,12-11-2022 21:00,16-11-2022 21:00,13-11-2022 04:00,16-11-2022 12:00,DAP,Pharmaceutical Raw Materials - Lisinopril,88.96,0.24,155.04,0.0,WE2502112478512,CRT,30C to 35C,Plastic Drum,"['GDP', 'GMP']","['EMA', 'WHO']","{'temperature_excursions': 1, 'humidity_deviations': 1, 'packaging_integrity': 'Excellent', 'documentation_completeness': 0.9728950830351462}",HIGH,Daily,Continuous,All-Risk,232.56,11.63,43.05,18.52,61.57,5.8,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', None]"
SHIP-A1D74655,Amoxicillin,g,Ho Chi Minh City Facility,Vietnam,Saigon Port,VNSGN,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,UPS Airlines,air,road,,BOL53054,19-12-2023 21:00,21-12-2023 21:00,20-12-2023 03:00,22-12-2023 12:00,CIF,Pharmaceutical Raw Materials - Amoxicillin,93.48,0.52,4113.41,5243.85,UA2502116904440,CRT,15C to 25C,Fiber Drum,"['ISO', 'GMP']","['EMA', 'MHRA']","{'temperature_excursions': 0, 'humidity_deviations': 1, 'packaging_integrity': 'Fair', 'documentation_completeness': 0.9568232866456648}",MEDIUM,Weekly,Enhanced,Premium,6292.62,251.7,50.94,15.85,66.78,352.67,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-46ADA8CA,Ibuprofen,g,Mexico City Facility,Mexico,Veracruz Port,MXVER,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Werner Enterprises,road,,,BOL34887,24-08-2023 21:00,28-08-2023 21:00,24-08-2023 23:00,29-08-2023 09:00,CIF,Pharmaceutical Raw Materials - Ibuprofen,204.19,0.55,786.15,28403.87,WE2502114102442,CRT,20C to 35C,Pallet Box,"['ISO', 'HACCP']","['MHRA', 'FDA']","{'temperature_excursions': 2, 'humidity_deviations': 2, 'packaging_integrity': 'Good', 'documentation_completeness': 0.9603178221808448}",LOW,Monthly,Standard,Premium,34084.644,1136.15,85.27,31.92,117.2,16.7,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-75210158,Flu Vaccine,doses,Shanghai Facility,China,Shanghai Port,CNSHA,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,FedEx Express,air,road,,BOL79397,14-12-2022 21:00,19-12-2022 21:00,14-12-2022 21:00,20-12-2022 19:00,CIF,Pharmaceutical Raw Materials - Flu Vaccine,0.37,0.0,15.85,56.22,FE2502115938499,FRZ,-150C to -196C,Cryogenic Container,"['HACCP', 'ISO']","['EMA', 'MHRA']","{'temperature_excursions': 3, 'humidity_deviations': 1, 'packaging_integrity': 'Good', 'documentation_completeness': 0.9970897506196049}",HIGH,Daily,Continuous,Premium,67.464,3.37,1.5,0.42,1.92,1.4,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', 'Temperature Log', 'Insurance Certificate', 'Customs Declaration']"
SHIP-68F43301,Aspirin,g,Ho Chi Minh City Facility,Vietnam,Saigon Port,VNSGN,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,FedEx Express,air,road,,BOL92580,01-09-2022 21:00,06-09-2022 21:00,01-09-2022 10:00,08-09-2022 09:00,CIF,Pharmaceutical Raw Materials - Aspirin,180.0,1.0,7741.73,10512.69,FE2502115040194,CRT,15C to 25C,Fiber Drum,"['ISO', 'GMP']","['FDA', 'MHRA']","{'temperature_excursions': 0, 'humidity_deviations': 1, 'packaging_integrity': 'Good', 'documentation_completeness': 0.9737977882372949}",MEDIUM,Weekly,Enhanced,Standard,10512.69,378.46,83.31,37.89,121.2,650.58,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-2AE730EF,Albuterol,g,Mexico City Facility,Mexico,Veracruz Port,MXVER,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,XPO Logistics,road,,,BOL30191,29-01-2023 21:00,04-02-2023 21:00,29-01-2023 17:00,04-02-2023 19:00,CIF,Pharmaceutical Raw Materials - Albuterol,23.92,0.08,88.87,2718.08,XL2502115752009,CRT,30C to 35C,Plastic Drum,"['HACCP', 'GDP']","['EMA', 'MHRA']","{'temperature_excursions': 0, 'humidity_deviations': 1, 'packaging_integrity': 'Fair', 'documentation_completeness': 0.9817635223859007}",LOW,Monthly,Standard,Premium,3261.696,108.72,12.82,4.8,17.63,1.88,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-3A06CB87,Lisinopril,g,Shanghai Facility,China,Shanghai Port,CNSHA,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Emirates SkyCargo,air,road,,BOL88440,23-03-2022 21:00,28-03-2022 21:00,23-03-2022 10:00,28-03-2022 22:00,CIF,Pharmaceutical Raw Materials - Lisinopril,66.85,0.16,2825.92,11659.81,ES2502115759368,CRT,20C to 35C,Pallet Box,"['ISO', 'GMP']","['MHRA', 'WHO']","{'temperature_excursions': 2, 'humidity_deviations': 2, 'packaging_integrity': 'Excellent', 'documentation_completeness': 0.975865152857327}",LOW,Monthly,Standard,Basic,9327.848,233.2,39.05,12.75,51.8,243.92,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-88944BCF,Ibuprofen,g,Montreal Facility,Canada,,CAMTR,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Schneider,road,,,BOL65837,08-11-2024 21:00,15-11-2024 21:00,08-11-2024 11:00,17-11-2024 11:00,CIF,Pharmaceutical Raw Materials - Ibuprofen,87.89,0.33,272.94,15308.06,S2502115097562,CRT,30C to 35C,Plastic Drum,"['GMP', 'ISO']","['WHO', 'EMA']","{'temperature_excursions': 3, 'humidity_deviations': 1, 'packaging_integrity': 'Good', 'documentation_completeness': 0.9664229271617755}",MEDIUM,Weekly,Enhanced,Premium,18369.672,734.79,50.4,20.69,71.09,6.19,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-74FA35F4,Albuterol,g,Ho Chi Minh City Facility,Vietnam,Saigon Port,VNSGN,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Lufthansa Cargo,air,road,,BOL37297,08-04-2022 21:00,13-04-2022 21:00,08-04-2022 10:00,14-04-2022 19:00,CIF,Pharmaceutical Raw Materials - Albuterol,28.82,0.1,1207.22,3254.86,LC2502111861723,CRT,15C to 25C,Fiber Drum,"['GMP', 'ISO']","['FDA', 'EMA']","{'temperature_excursions': 2, 'humidity_deviations': 2, 'packaging_integrity': 'Fair', 'documentation_completeness': 0.9974762314820625}",LOW,Monthly,Standard,Standard,3254.86,97.65,15.74,6.7,22.44,120.44,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-283DCA0A,Atorvastatin,g,Guangzhou Facility,China,Guangzhou Port,CNGZA,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,DHL Aviation,air,road,,BOL49434,07-10-2023 21:00,10-10-2023 21:00,07-10-2023 15:00,11-10-2023 21:00,CIF,Pharmaceutical Raw Materials - Atorvastatin,27.82,0.14,1012.82,2679.09,DA2502117411693,CRT,15C to 25C,Cardboard Box,"['GDP', 'ISO']","['WHO', 'MHRA']","{'temperature_excursions': 3, 'humidity_deviations': 0, 'packaging_integrity': 'Good', 'documentation_completeness': 0.9707873917048123}",HIGH,Daily,Continuous,Premium,3214.908,160.75,12.21,5.11,17.32,100.33,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-26CEC1C0,Atorvastatin,g,Ho Chi Minh City Facility,Vietnam,Saigon Port,VNSGN,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Emirates SkyCargo,air,road,,BOL95354,15-06-2022 21:00,18-06-2022 21:00,15-06-2022 09:00,19-06-2022 19:00,CIF,Pharmaceutical Raw Materials - Atorvastatin,28.7,0.1,1193.7,3611.09,ES2502111570480,CRT,15C to 25C,Fiber Drum,"['GMP', 'GDP']","['WHO', 'MHRA']","{'temperature_excursions': 1, 'humidity_deviations': 0, 'packaging_integrity': 'Good', 'documentation_completeness': 0.9502164885581179}",LOW,Monthly,Standard,Standard,3611.09,108.33,16.96,4.34,21.3,104.9,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-EDB3614B,Ibuprofen,g,Mexico City Facility,Mexico,Veracruz Port,MXVER,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,J.B. Hunt,road,,,BOL75693,26-03-2023 21:00,31-03-2023 21:00,26-03-2023 22:00,02-04-2023 15:00,CIF,Pharmaceutical Raw Materials - Ibuprofen,235.86,1.2,879.65,32793.65,JH2502116460463,CRT,30C to 35C,Plastic Drum,"['ISO', 'HACCP']","['WHO', 'EMA']","{'temperature_excursions': 1, 'humidity_deviations': 0, 'packaging_integrity': 'Fair', 'documentation_completeness': 0.9516805055352238}",MEDIUM,Weekly,Enhanced,Basic,26234.92,787.05,100.19,43.94,144.12,19.9,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-274F6317,Albuterol,g,Houston Facility,USA,,USHOU,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,YRC Freight,road,,,BOL37509,01-09-2024 21:00,06-09-2024 21:00,02-09-2024 09:00,08-09-2024 07:00,DAP,Pharmaceutical Raw Materials - Albuterol,27.42,0.11,42.26,0.0,YF2502116333003,CRT,20C to 35C,Pallet Box,"['HACCP', 'ISO']","['WHO', 'EMA']","{'temperature_excursions': 3, 'humidity_deviations': 2, 'packaging_integrity': 'Excellent', 'documentation_completeness': 0.9990559798601784}",MEDIUM,Weekly,Enhanced,Standard,42.26,1.52,13.04,5.67,18.71,1.41,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', None]"
SHIP-1E9047AF,Lisinopril,g,Jakarta Facility,Indonesia,Tanjung Priok Port,IDTPP,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,FedEx Express,air,road,,BOL21290,25-02-2023 21:00,28-02-2023 21:00,26-02-2023 07:00,02-03-2023 08:00,CIF,Pharmaceutical Raw Materials - Lisinopril,52.54,0.18,2707.22,8513.73,FE2502111527556,CRT,15C to 25C,Cardboard Box,"['GDP', 'GMP']","['EMA', 'FDA']","{'temperature_excursions': 1, 'humidity_deviations': 0, 'packaging_integrity': 'Fair', 'documentation_completeness': 0.9897562481400705}",HIGH,Daily,Continuous,All-Risk,12770.595,638.53,27.75,10.37,38.12,224.33,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-2D0488A9,Adalimumab,mg,Jakarta Facility,Indonesia,Tanjung Priok Port,IDTPP,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Emirates SkyCargo,air,road,,BOL87831,26-06-2024 21:00,28-06-2024 21:00,27-06-2024 07:00,28-06-2024 11:00,CIF,Pharmaceutical Raw Materials - Adalimumab,0.01,0.0,0.23,0.66,ES2502112165897,CRT,30C to 35C,Plastic Drum,"['HACCP', 'GDP']","['EMA', 'FDA']","{'temperature_excursions': 2, 'humidity_deviations': 0, 'packaging_integrity': 'Good', 'documentation_completeness': 0.9550558972532285}",LOW,Monthly,Standard,Standard,0.66,0.02,0.0,0.0,0.0,0.02,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-CB6B84FD,Insulin,IU,Ho Chi Minh City Facility,Vietnam,Saigon Port,VNSGN,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Emirates SkyCargo,air,road,,BOL10970,20-05-2023 21:00,22-05-2023 21:00,20-05-2023 15:00,23-05-2023 07:00,CIF,Pharmaceutical Raw Materials - Insulin,0.0,0.0,0.06,0.16,ES2502115033047,REF,2C to 8C,Cold Chain Container,"['GMP', 'HACCP']","['MHRA', 'EMA']","{'temperature_excursions': 1, 'humidity_deviations': 1, 'packaging_integrity': 'Good', 'documentation_completeness': 0.9560675639218216}",HIGH,Daily,Continuous,Standard,0.16,0.01,0.0,0.0,0.0,0.0,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', 'Temperature Log', 'Insurance Certificate', 'Customs Declaration']"
SHIP-C5102857,COVID-19 Vaccine,doses,Jakarta Facility,Indonesia,Tanjung Priok Port,IDTPP,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Lufthansa Cargo,air,road,,BOL73392,24-10-2023 21:00,29-10-2023 21:00,24-10-2023 20:00,31-10-2023 18:00,CIF,Pharmaceutical Raw Materials - COVID-19 Vaccine,0.75,0.0,33.26,63.86,LC2502118848709,FRZ,2C to 8C,Thermal Box,"['GMP', 'ISO']","['WHO', 'MHRA']","{'temperature_excursions': 3, 'humidity_deviations': 1, 'packaging_integrity': 'Fair', 'documentation_completeness': 0.9880262993995784}",HIGH,Daily,Continuous,Premium,76.632,3.83,2.91,1.12,4.03,3.23,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', 'Temperature Log', 'Insurance Certificate', 'Customs Declaration']"
SHIP-62877F49,Adalimumab,mg,Jakarta Facility,Indonesia,Tanjung Priok Port,IDTPP,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Emirates SkyCargo,air,road,,BOL76517,01-04-2023 21:00,03-04-2023 21:00,01-04-2023 21:00,03-04-2023 10:00,CIF,Pharmaceutical Raw Materials - Adalimumab,0.01,0.0,0.29,0.37,ES2502111225161,CRT,15C to 25C,Cardboard Box,"['ISO', 'HACCP']","['WHO', 'MHRA']","{'temperature_excursions': 2, 'humidity_deviations': 2, 'packaging_integrity': 'Fair', 'documentation_completeness': 0.9516575217887232}",MEDIUM,Weekly,Enhanced,Premium,0.444,0.02,0.0,0.0,0.0,0.03,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-B94763C3,Beta Interferon,mcg,Mexico City Facility,Mexico,Veracruz Port,MXVER,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Schneider,road,,,BOL18883,05-06-2024 21:00,09-06-2024 21:00,05-06-2024 22:00,10-06-2024 03:00,CIF,Pharmaceutical Raw Materials - Beta Interferon,0.0,0.0,0.0,0.0,S2502115197578,DFZ,-80C to -20C,Deep Freeze Container,"['HACCP', 'GDP']","['WHO', 'EMA']","{'temperature_excursions': 2, 'humidity_deviations': 0, 'packaging_integrity': 'Fair', 'documentation_completeness': 0.9500958165720095}",HIGH,Daily,Continuous,All-Risk,0.0,0.0,0.0,0.0,0.0,0.0,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', 'Temperature Log', 'Insurance Certificate', 'Customs Declaration']"
SHIP-6E136150,Ciprofloxacin,g,Boston Facility,USA,,USBOS,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,J.B. Hunt,road,,,BOL90125,16-10-2022 21:00,19-10-2022 21:00,17-10-2022 00:00,19-10-2022 08:00,DAP,Pharmaceutical Raw Materials - Ciprofloxacin,65.23,0.16,109.33,0.0,JH2502111926308,CRT,30C to 35C,Plastic Drum,"['GDP', 'GMP']","['MHRA', 'EMA']","{'temperature_excursions': 1, 'humidity_deviations': 0, 'packaging_integrity': 'Good', 'documentation_completeness': 0.96787641939301}",HIGH,Daily,Continuous,Standard,109.33,4.92,26.68,13.15,39.82,3.71,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', None]"
SHIP-4B647980,Rituximab,mg,Guangzhou Facility,China,Guangzhou Port,CNGZA,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,FedEx Express,air,road,,BOL63567,29-07-2024 21:00,02-08-2024 21:00,30-07-2024 01:00,03-08-2024 08:00,CIF,Pharmaceutical Raw Materials - Rituximab,0.02,0.0,0.84,2.37,FE2502112046640,CRT,20C to 35C,Pallet Box,"['GDP', 'ISO']","['EMA', 'MHRA']","{'temperature_excursions': 0, 'humidity_deviations': 2, 'packaging_integrity': 'Good', 'documentation_completeness': 0.9773253826230052}",HIGH,Daily,Continuous,Premium,2.844,0.14,0.01,0.0,0.01,0.07,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-5307D3AE,Atorvastatin,g,San Francisco Facility,USA,,USSFO,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Werner Enterprises,road,,,BOL79264,20-10-2023 21:00,23-10-2023 21:00,20-10-2023 19:00,23-10-2023 13:00,DAP,Pharmaceutical Raw Materials - Atorvastatin,65.44,0.35,140.81,0.0,WE2502114721187,CRT,20C to 35C,Pallet Box,"['GMP', 'ISO']","['WHO', 'EMA']","{'temperature_excursions': 0, 'humidity_deviations': 1, 'packaging_integrity': 'Good', 'documentation_completeness': 0.9857646050622892}",LOW,Monthly,Standard,All-Risk,211.215,7.04,32.9,10.58,43.48,4.65,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', None]"
SHIP-F70ABB24,Metformin,g,Montreal Facility,Canada,,CAMTR,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Schneider,road,,,BOL80489,18-08-2022 21:00,25-08-2022 21:00,18-08-2022 15:00,27-08-2022 21:00,CIF,Pharmaceutical Raw Materials - Metformin,168.52,0.97,517.68,11528.63,S2502115277172,CRT,15C to 25C,Fiber Drum,"['GDP', 'HACCP']","['EMA', 'WHO']","{'temperature_excursions': 3, 'humidity_deviations': 0, 'packaging_integrity': 'Excellent', 'documentation_completeness': 0.960941139364134}",LOW,Monthly,Standard,All-Risk,17292.945,576.43,87.23,33.95,121.19,12.26,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-A71C4C9B,Flu Vaccine,doses,Mexico City Facility,Mexico,Veracruz Port,MXVER,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,YRC Freight,road,,,BOL36497,26-01-2025 21:00,29-01-2025 21:00,26-01-2025 10:00,31-01-2025 14:00,CIF,Pharmaceutical Raw Materials - Flu Vaccine,0.43,0.0,1.71,53.01,YF2502115077277,FRZ,2C to 8C,Thermal Box,"['ISO', 'GDP']","['WHO', 'FDA']","{'temperature_excursions': 1, 'humidity_deviations': 2, 'packaging_integrity': 'Fair', 'documentation_completeness': 0.9695799118631084}",LOW,Monthly,Standard,All-Risk,79.515,2.65,1.77,0.65,2.42,0.04,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', 'Temperature Log', 'Insurance Certificate', 'Customs Declaration']"
SHIP-09C065DF,Flu Vaccine,doses,Philadelphia Facility,USA,,USPHL,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Schneider,road,,,BOL23644,28-01-2024 21:00,01-02-2024 21:00,29-01-2024 05:00,02-02-2024 15:00,DAP,Pharmaceutical Raw Materials - Flu Vaccine,0.35,0.0,0.59,0.0,S2502118706475,FRZ,-150C to -196C,Cryogenic Container,"['ISO', 'GDP']","['MHRA', 'FDA']","{'temperature_excursions': 0, 'humidity_deviations': 0, 'packaging_integrity': 'Fair', 'documentation_completeness': 0.9557933349032397}",LOW,Monthly,Standard,All-Risk,0.885,0.03,1.29,0.37,1.66,0.02,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', 'Temperature Log', 'Insurance Certificate', None]"
SHIP-B7E4C49F,Amoxicillin,g,Ho Chi Minh City Facility,Vietnam,Saigon Port,VNSGN,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Lufthansa Cargo,air,road,,BOL69307,13-07-2024 21:00,16-07-2024 21:00,14-07-2024 01:00,16-07-2024 18:00,CIF,Pharmaceutical Raw Materials - Amoxicillin,149.93,0.67,6547.9,22827.35,LC2502117284760,CRT,20C to 35C,Pallet Box,"['GDP', 'HACCP']","['WHO', 'EMA']","{'temperature_excursions': 2, 'humidity_deviations': 2, 'packaging_integrity': 'Fair', 'documentation_completeness': 0.9736113000806068}",LOW,Monthly,Standard,Basic,18261.88,456.55,86.86,29.3,116.16,604.9,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-D560D43B,Lisinopril,g,Jakarta Facility,Indonesia,Tanjung Priok Port,IDTPP,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,DHL Aviation,air,road,,BOL61063,07-09-2024 21:00,09-09-2024 21:00,08-09-2024 09:00,11-09-2024 09:00,CIF,Pharmaceutical Raw Materials - Lisinopril,89.98,0.49,4260.35,13809.41,DA2502112429610,CRT,20C to 35C,Pallet Box,"['GMP', 'HACCP']","['FDA', 'EMA']","{'temperature_excursions': 1, 'humidity_deviations': 1, 'packaging_integrity': 'Fair', 'documentation_completeness': 0.9775611223638733}",MEDIUM,Weekly,Enhanced,Standard,13809.41,497.14,36.0,15.93,51.93,355.04,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-5AF09EF9,Paracetamol,g,Mexico City Facility,Mexico,Veracruz Port,MXVER,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Werner Enterprises,road,,,BOL27479,05-01-2025 21:00,10-01-2025 21:00,05-01-2025 20:00,11-01-2025 23:00,CIF,Pharmaceutical Raw Materials - Paracetamol,112.92,0.36,459.11,19584.81,WE2502115935656,CRT,15C to 25C,Fiber Drum,"['ISO', 'HACCP']","['WHO', 'EMA']","{'temperature_excursions': 1, 'humidity_deviations': 1, 'packaging_integrity': 'Fair', 'documentation_completeness': 0.9957978204347033}",MEDIUM,Weekly,Enhanced,All-Risk,29377.215,1175.09,67.6,24.46,92.06,9.77,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-D0BB4E54,Albuterol,g,Shanghai Facility,China,Shanghai Port,CNSHA,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,FedEx Express,air,road,,BOL72226,09-11-2022 21:00,14-11-2022 21:00,09-11-2022 14:00,15-11-2022 17:00,CIF,Pharmaceutical Raw Materials - Albuterol,24.66,0.06,1096.94,3053.54,FE2502115940428,CRT,15C to 25C,Cardboard Box,"['GMP', 'ISO']","['WHO', 'FDA']","{'temperature_excursions': 3, 'humidity_deviations': 1, 'packaging_integrity': 'Good', 'documentation_completeness': 0.967342310144282}",HIGH,Daily,Continuous,Standard,3053.54,137.41,12.11,4.19,16.3,99.77,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-8ABD4BB5,Growth Hormone,IU,Mexico City Facility,Mexico,Veracruz Port,MXVER,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,J.B. Hunt,road,,,BOL10865,15-09-2023 21:00,19-09-2023 21:00,15-09-2023 19:00,21-09-2023 06:00,CIF,Pharmaceutical Raw Materials - Growth Hormone,0.0,0.0,0.0,0.04,JH2502113071570,REF,-30C to 30C,Reefer Container,"['GDP', 'HACCP']","['EMA', 'MHRA']","{'temperature_excursions': 2, 'humidity_deviations': 2, 'packaging_integrity': 'Fair', 'documentation_completeness': 0.9724048433287603}",LOW,Monthly,Standard,Standard,0.04,0.0,0.0,0.0,0.0,0.0,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', 'Temperature Log', 'Insurance Certificate', 'Customs Declaration']"
SHIP-24B5FE4A,Paracetamol,g,Jakarta Facility,Indonesia,Tanjung Priok Port,IDTPP,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,UPS Airlines,air,road,,BOL60948,11-03-2022 21:00,16-03-2022 21:00,12-03-2022 09:00,18-03-2022 06:00,CIF,Pharmaceutical Raw Materials - Paracetamol,187.3,0.4,7910.38,24587.15,UA2502118396991,CRT,15C to 25C,Cardboard Box,"['HACCP', 'ISO']","['MHRA', 'FDA']","{'temperature_excursions': 3, 'humidity_deviations': 2, 'packaging_integrity': 'Fair', 'documentation_completeness': 0.9804573465589752}",MEDIUM,Weekly,Enhanced,Standard,24587.15,885.14,105.91,30.53,136.44,730.72,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-D022FB73,Amoxicillin,g,Jakarta Facility,Indonesia,Tanjung Priok Port,IDTPP,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,DHL Aviation,air,road,,BOL31888,05-12-2022 21:00,08-12-2022 21:00,06-12-2022 07:00,10-12-2022 14:00,CIF,Pharmaceutical Raw Materials - Amoxicillin,86.53,0.29,4006.87,10161.4,DA2502113795391,CRT,15C to 25C,Cardboard Box,"['HACCP', 'GMP']","['WHO', 'FDA']","{'temperature_excursions': 0, 'humidity_deviations': 1, 'packaging_integrity': 'Fair', 'documentation_completeness': 0.954890491234226}",HIGH,Daily,Continuous,Standard,10161.4,457.26,42.44,15.7,58.15,332.53,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
SHIP-0B8701A5,Amoxicillin,g,Mexico City Facility,Mexico,Veracruz Port,MXVER,PharmaCo Manufacturing Plant,USA,Port of New York and New Jersey,USEWK,Schneider,road,,,BOL31142,27-06-2024 21:00,30-06-2024 21:00,27-06-2024 22:00,30-06-2024 09:00,CIF,Pharmaceutical Raw Materials - Amoxicillin,112.13,0.66,394.37,18916.13,S2502111006109,CRT,15C to 25C,Cardboard Box,"['ISO', 'GMP']","['WHO', 'FDA']","{'temperature_excursions': 0, 'humidity_deviations': 2, 'packaging_integrity': 'Fair', 'documentation_completeness': 0.9601225245887419}",MEDIUM,Weekly,Enhanced,Standard,18916.13,680.98,54.27,20.03,74.3,9.03,kg CO2e,"['Commercial Invoice', 'Packing List', 'Certificate of Analysis', None, 'Insurance Certificate', 'Customs Declaration']"
